,property_name,link,area,address
76,4 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4134-sq-ft-to-4221-sq-ft-npspid-B69499688,(384-392 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
77,5 Bedroom House for sale in Sector 14 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-gurgaon-2500-sq-ft-spid-U69442134,(232 sq.m.) Carpet Area,"Sector 14, Sector 14 Gurgaon, Gurgaon, Haryana"
78,5 Bedroom House for sale in C Block Sushant Lok Phase 1,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-c-block-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-R67354342,(180 sq.m.) Plot Area,"C Block Sushant Lok Phase 1, Gurgaon, Haryana"
79,5 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-6520-sq-ft-to-8120-sq-ft-npspid-K70070236,(606-754 sq.m.) Built-up Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
80,4 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-5605-sq-ft-npspid-R70070230,(521 sq.m.) Built-up Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
81,5 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5026-sq-ft-to-7330-sq-ft-npspid-A70075122,(467-681 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
82,4 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-3166-sq-ft-to-4497-sq-ft-npspid-L70075120,(294-418 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
83,3 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-3153-sq-ft-npspid-Z70075118,(293 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
84,4 Bedroom House for sale in Sector 112 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-experion-windchants-sector-112-gurgaon-6350-sq-ft-to-7400-sq-ft-npspid-D69895840,(590-687 sq.m.) Built-up Area,"Sector 112 Gurgaon, Gurgaon, Haryana"
85,4 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-5605-sq-ft-npspid-W70088874,(521 sq.m.) Built-up Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
86,5 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-6520-sq-ft-npspid-P69627242,(606 sq.m.) Built-up Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
87,4 Bedroom House for sale in Sector 66 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-5605-sq-ft-npspid-F69627240,(521 sq.m.) Built-up Area,"Sector 66 Gurgaon, Gurgaon, Haryana"
88,3 Bedroom House for sale in Sector 73 Gurgaon,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-dlf-alameda-sector-73-gurgaon-5844-sq-ft-npspid-C70022746,(543 sq.m.) Built-up Area,"Sector 73 Gurgaon, Gurgaon, Haryana"
89,5 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-5036-sq-ft-to-7330-sq-ft-npspid-M70112048,(468-681 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
90,4 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-3147-sq-ft-to-3854-sq-ft-npspid-V70112044,(292-358 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
91,3 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-3153-sq-ft-npspid-R70112042,(293 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
92,12 Bedroom House for sale in Sector 40 Gurgaon,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-2367-sq-ft-spid-G69453034,(220 sq.m.) Plot Area,"Sector 40 Gurgaon, Gurgaon, Haryana"
